1,ARI,311,101,12,58,181,36,23,37,461,1017,2237
2,ATL,320,130,3,103,239,23,7,39,573,906,2343
3,BAL,337,102,7,77,164,27,10,32,514,957,2227
4,BOS,346,118,7,81,187,21,9,51,545,935,2300
5,CHA,338,94,6,96,179,24,13,44,571,898,2263
6,CHN,258,82,8,74,229,52,13,42,568,886,2212
7,CIN,221,76,3,90,239,33,7,44,534,874,2121
8,CLE,286,96,5,59,239,24,16,40,517,956,2238
9,COL,365,84,16,63,161,10,19,41,543,945,2247
10,DET,311,78,12,62,147,19,14,42,567,821,2073
11,HOU,294,103,12,69,192,23,13,39,440,1035,2220
12,KCA,313,97,7,68,172,18,10,28,527,948,2188
13,LAA,311,97,8,85,239,25,18,49,490,980,2302
14,LAN,302,97,6,118,228,30,12,46,471,1002,2312
15,MIA,325,82,5,60,191,25,9,37,537,889,2160
16,MIL,266,83,5,75,221,35,10,53,582,856,2186
17,MIN,293,81,3,91,186,29,14,38,528,903,2166
18,NYA,285,87,7,94,251,30,11,51,480,911,2207
19,NYN,352,106,7,86,197,45,13,53,498,921,2278
20,OAK,257,91,11,71,238,39,14,44,524,910,2199
21,PHI,318,90,10,82,229,28,10,40,480,928,2215
22,PIT,284,76,6,59,167,11,15,34,521,952,2125
23,SDN,296,103,12,95,204,28,14,37,479,950,2218
24,SEA,282,88,5,60,207,30,12,35,545,914,2178
25,SFN,330,107,14,81,195,27,13,51,499,937,2254
26,SLN,279,73,7,51,205,33,16,38,477,827,2006
27,TBA,273,105,12,80,243,28,14,38,608,859,2260
28,TEX,269,80,9,62,167,24,18,33,548,935,2145
29,TOR,320,104,4,88,203,12,14,39,508,960,2252
30,WAS,329,112,12,66,192,32,21,42,451,956,2213
